nm,W/sm/nm,W/sm
561.5,1.826,1025.299
562.5,1.852,1041.75
563.5,1.863,1049.8005
564.5,1.856,1047.712
565.5,1.8,1017.9
566.5,1.831,1037.2615
567.5,1.889,1072.0075
568.5,1.812,1030.122
569.5,1.862,1060.409
570.5,1.772,1010.926
571.5,1.825,1042.9875
572.5,1.894,1084.315
573.5,1.878,1077.033
574.5,1.869,1073.7404999999999
575.5,1.832,1054.316
576.5,1.848,1065.372
577.5,1.859,1073.5725
578.5,1.786,1033.201
579.5,1.83,1060.4850000000001
580.5,1.84,1068.1200000000001
581.5,1.855,1078.6825
582.5,1.875,1092.1875
583.5,1.859,1084.7265
584.5,1.862,1088.3390000000002
585.5,1.786,1045.703
586.5,1.832,1074.468
587.5,1.85,1086.875
588.5,1.752,1031.052
589.5,1.614,951.4530000000001
590.5,1.815,1071.7575
591.5,1.789,1058.1934999999999
592.5,1.81,1072.425
593.5,1.798,1067.113
594.5,1.776,1055.832
595.5,1.785,1062.9675
596.5,1.807,1077.8754999999999
597.5,1.783,1065.3425
598.5,1.76,1053.36
599.5,1.777,1065.3115
600.5,1.748,1049.674
601.5,1.753,1054.4295
602.5,1.721,1036.9025000000001
603.5,1.789,1079.6615
604.5,1.779,1075.4054999999998
605.5,1.766,1069.313
606.5,1.762,1068.653
607.5,1.76,1069.2
608.5,1.745,1061.8325
609.5,1.746,1064.187
610.5,1.705,1040.9025000000001
611.5,1.748,1068.902
612.5,1.707,1045.5375000000001
613.5,1.685,1033.7475
614.5,1.715,1053.8675
615.5,1.715,1055.5825
616.5,1.611,993.1815
617.5,1.709,1055.3075000000001
618.5,1.726,1067.531
619.5,1.709,1058.7255
620.5,1.736,1077.188
621.5,1.692,1051.578
622.5,1.715,1067.5875
623.5,1.668,1039.998
624.5,1.658,1035.421
625.5,1.634,1022.0669999999999
626.5,1.699,1064.4235
627.5,1.699,1066.1225
628.5,1.699,1067.8215
629.5,1.679,1056.9305
631.0,1.641,1035.471
633.0,1.653,1046.349
635.0,1.658,1052.83
637.0,1.656,1054.8719999999998
639.0,1.653,1056.267
641.0,1.616,1035.856
643.0,1.623,1043.589
645.0,1.629,1050.705
647.0,1.605,1038.435
649.0,1.56,1012.44
651.0,1.608,1046.808
653.0,1.601,1045.453
655.0,1.534,1004.77
657.0,1.386,910.602
659.0,1.551,1022.1089999999999
661.0,1.573,1039.753
663.0,1.557,1032.291
665.0,1.562,1038.73
667.0,1.537,1025.1789999999999
669.0,1.548,1035.612
671.0,1.518,1018.578
673.0,1.523,1024.979
675.0,1.512,1020.6
677.0,1.51,1022.27
679.0,1.5,1018.5
681.0,1.494,1017.414
683.0,1.481,1011.523
685.0,1.457,998.0450000000001
687.0,1.469,1009.2030000000001
689.0,1.463,1008.0070000000001
691.0,1.45,1001.9499999999999
693.0,1.45,1004.85
695.0,1.438,999.41
697.0,1.418,988.346
699.0,1.427,997.4730000000001
701.0,1.388,972.9879999999999
703.0,1.39,977.17
705.0,1.417,998.985
707.0,1.402,991.2139999999999
709.0,1.386,982.674
711.0,1.387,986.157
713.0,1.375,980.375
715.0,1.368,978.1200000000001
717.0,1.355,971.535
719.0,1.329,955.5509999999999
721.0,1.332,960.3720000000001
723.0,1.349,975.327
725.0,1.351,979.475
727.0,1.347,979.269
729.0,1.32,962.2800000000001
731.0,1.327,970.0369999999999
733.0,1.319,966.827
735.0,1.31,962.85
737.0,1.308,963.9960000000001
739.0,1.279,945.1809999999999
