w.440,r.440,w.500,r.500,w.675,r.675,w.870,r.870,w.1020,r.1020,w.1640,r.1640,w.2130,r.2130
440.13141,0.9068874639,0.0,0.0,0.0,0.0,870.13141,0.98259198743,1020.10951,0.9948248839,1633.73217,0.97435095345,0,0
440.16896,0.903191983,0.0,0.0,0.0,0.0,870.16896,0.98038122705,1020.1408,0.9946886147,1633.7985,0.97282220541,0,0
440.20651,0.8992950005,0.0,0.0,0.0,0.0,870.20651,0.98005617096,1020.17209,0.9945548723,1633.86483,0.97294098572,0,0
440.24406,0.895246346,0.0,0.0,0.0,0.0,870.24406,0.9816443516,1020.20338,0.9944238707,1633.93116,0.97294098572,0,0
440.2816,0.8911065883,0.0,0.0,0.0,0.0,870.2816,0.98404809528,1020.23467,0.9942958224,1633.9975,0.97294098572,0,0
440.31915,0.886924512,0.0,0.0,0.0,0.0,870.31915,0.98577131669,1020.26596,0.9941641117,1634.06383,0.97308222338,0,0
440.3567,0.8827604272,0.0,0.0,0.0,0.0,870.3567,0.98561225279,1020.29725,0.9940298639,1634.13016,0.97092101214,0,0
440.39424,0.8786849425,0.0,0.0,0.0,0.0,870.39424,0.98338182865,1020.32854,0.9939011216,1634.1965,0.97041965753,0,0
440.43179,0.8748039909,0.0,0.0,0.0,0.0,870.43179,0.98311817894,1020.35982,0.9937793596,1634.26283,0.96832826092,0,0
440.46934,0.8711048872,0.0,0.0,0.0,0.0,870.46934,0.98526351379,1020.39111,0.9936660541,1634.32916,0.96861077176,0,0
440.50688,0.867587324,0.0,0.0,0.0,0.0,870.50688,0.98777593287,1020.4224,0.9935626792,1634.39549,0.96644710049,0,0
440.54443,0.8642523094,0.0,0.0,0.0,0.0,870.54443,0.98755696294,1020.45369,0.9934707095,1634.46183,0.96624330762,0,0
440.58198,0.8611665461,0.0,0.0,0.0,0.0,870.58198,0.98670457631,1020.48498,0.9933916189,1634.52816,0.96624330762,0,0
440.61952,0.8584052869,0.0,0.0,0.0,0.0,870.61952,0.98790508126,1020.51627,0.9933412856,1634.59449,0.96624330762,0,0
